,Group
GMBC10.018_871,1
GMBC10.018_967,1
GMBC10.019_017,1
GMBC10.019_092,1
GMBC10.019_151,1
GMBC10.019_213,1
GMBC10.019_214,1
GMBC10.019_216,1
GMBC10.019_253,1
GMBC10.019_254,1
GMBC10.019_373,1
GMBC10.019_564,1
GMBC10.019_644,1
GMBC10.019_655,1
GMBC10.019_657,1
GMBC10.019_695,1
GMBC10.019_698,1
GMBC10.019_711,1
GMBC10.019_760,1
GMBC10.020_029,1
GMBC10.020_048,1
GMBC10.020_070,1
GMBC10.020_113,1
GMBC10.020_140,1
GMBC10.020_278,1
GMBC10.020_293,1
GMBC10.020_322,1
GMBC10.020_373,1
GMBC10.020_380,1
GMBC10.020_388,1
GMBC10.020_401,1
GMBC10.020_472,1
GMBC10.020_477,1
GMBC10.020_504,1
GMBC10.020_624,1
GMBC10.020_629,1
GMBC10.020_632,1
GMBC10.020_723,1
GMBC10.020_795,1
GMBC10.020_841,1
GMBC10.020_854,1
GMBC10.020_942,1
GMBC10.021_063,1
GMBC10.021_080,1
GMBC10.021_169,1
GMBC10.021_183,1
GMBC10.021_210,1
GMBC10.021_236,1
GMBC10.021_280,1
GMBC10.021_393,1
GMBC10.021_439,1
GMBC10.021_445,1
GMBC10.021_448,1
GMBC10.021_456,1
GMBC10.021_516,1
GMBC10.021_520,1
GMBC10.021_538,1
GMBC10.021_660,1
GMBC10.021_712,1
GMBC10.021_726,1
GMBC10.021_789,1
GMBC10.021_836,1
GMBC10.021_841,1
GMBC10.022_043,1
GMBC10.022_056,1
GMBC10.022_167,1
GMBC10.022_190,1
GMBC10.022_227,1
GMBC10.022_247,1
GMBC10.022_414,1
GMBC10.022_444,1
GMBC10.022_569,1
GMBC10.022_573,1
GMBC10.022_607,1
GMBC10.022_653,1
GMBC10.022_665,1
GMBC10.022_670,1
GMBC10.022_685,1
GMBC10.022_698,1
GMBC10.022_708,1
GMBC10.022_721,1
GMBC10.022_741,1
GMBC10.022_868,1
GMBC10.022_902,1
GMBC10.022_971,1
GMBC10.023_149,1
GMBC10.023_172,1
GMBC10.023_178,1
GMBC10.023_392,1
GMBC10.023_656,1
GMBC10.023_685,1
GMBC10.023_758,1
GMBC10.023_788,1
GMBC10.023_793,1
GMBC10.023_794,1
GMBC10.023_835,1
GMBC10.023_842,1
GMBC10.023_876,1
GMBC10.023_879,1
GMBC10.023_959,1
GMBC10.024_023,1
GMBC10.024_041,1
GMBC10.024_052,1
GMBC10.024_071,1
GMBC10.024_212,1
GMBC10.024_316,1
GMBC10.024_335,1
GMBC10.024_436,1
GMBC10.024_444,1
GMBC10.024_452,1
GMBC10.024_585,1
GMBC10.024_661,1
GMBC10.024_718,1
GMBC10.024_747,1
GMBC10.024_808,1
GMBC10.024_919,1
GMBC10.025_017,1
GMBC10.025_079,1
GMBC10.025_264,1
GMBC10.025_285,1
GMBC10.025_364,1
GMBC10.025_408,1
GMBC10.025_452,1
GMBC10.025_467,1
GMBC10.025_481,1
GMBC10.025_640,1
GMBC10.025_726,1
GMBC10.025_816,1
GMBC10.025_862,1
GMBC10.025_912,1
GMBC10.025_918,1
GMBC10.026_032,1
GMBC10.026_045,1
GMBC10.026_047,1
GMBC10.026_050,1
GMBC10.026_104,1
GMBC10.026_170,1
