sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/recluster_15.bin.0.fa	1286_X	1.0	0.9939814386031082	4453837	4453837	4480805	1.0	0.6779661016949152	40	40	59
gsa	S3N2Bin_1000/output_recluster_bins/bin.56.fa	1036656	0.9994869038095033	0.9939590098289256	3391177	3389437	3410037	0.989247311827957	0.92	93	92	100
gsa	S3N2Bin_1000/output_recluster_bins/recluster_77.bin.6.fa	1286_L	0.978195730958124	0.9939264182412443	5164906	5052289	5083162	0.825	0.5789473684210527	40	33	57
gsa	S3N2Bin_1000/output_recluster_bins/bin.86.fa	1220_I	0.9997160800457021	0.9939090428555342	6692027	6690127	6731126	0.9852941176470589	0.7052631578947368	68	67	95
gsa	S3N2Bin_1000/output_recluster_bins/recluster_40.bin.1.fa	1030710	0.9937208401518053	0.9938095082645078	4595360	4566505	4594950	0.9090909090909091	0.7272727272727273	44	40	55
gsa	S3N2Bin_1000/output_recluster_bins/bin.491.fa	1035912		0.9937373262902283	951017	947773	953746		0.88	24	22	25
gsa	S3N2Bin_1000/output_recluster_bins/recluster_19.bin.0.fa	1048771	0.9925706045124336	0.9937085619132264	3919969	3890846	3915480	0.8888888888888888	0.6153846153846154	18	16	26
gsa	S3N2Bin_1000/output_recluster_bins/bin.114.fa	1030773	1.0	0.9936999541154533	2544642	2544642	2560775	1.0	0.9253731343283582	124	124	134
gsa	S3N2Bin_1000/output_recluster_bins/recluster_158.bin.0.fa	1010920	0.9925879230507523	0.9936910989332636	4535301	4501685	4530266	0.9696969696969697	0.8807339449541285	99	96	109
gsa	S3N2Bin_1000/output_recluster_bins/recluster_90.bin.3.fa	1139_AH	0.990405989121665	0.9936694841174891	5648107	5593919	5629557	0.9583333333333334	0.5227272727272727	48	46	88
gsa	S3N2Bin_1000/output_recluster_bins/recluster_113.bin.4.fa	1021_G	0.9992199779586265	0.9936511120591759	6216491	6211642	6251331	0.9473684210526315	0.6206896551724138	57	54	87
gsa	S3N2Bin_1000/output_recluster_bins/bin.99.fa	1049047	1.0	0.9935821046793665	3156664	3156664	3177054	1.0	0.7142857142857143	20	20	28
gsa	S3N2Bin_1000/output_recluster_bins/bin.224.fa	1036572	1.0	0.9934514597678824	2854041	2854041	2872854	1.0	0.8625	69	69	80
gsa	S3N2Bin_1000/output_recluster_bins/recluster_164.bin.7.fa	1286_BL	0.9981819629011892	0.9933904671260654	3316764	3310734	3332762	0.7692307692307693	0.5	13	10	20
gsa	S3N2Bin_1000/output_recluster_bins/recluster_17.bin.6.fa	1286_AM	0.9418526583554502	0.9933641543897682	8126528	7653992	7705122	0.8641975308641975	0.693069306930693	81	70	101
