sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/recluster_55.bin.2.fa	1048969	0.999029209100032	0.9905083495937176	3818536	3814829	3851385	0.9903536977491961	0.9085545722713865	311	308	339
gsa	S3N2Bin_1000/output_recluster_bins/recluster_101.bin.1.fa	1030770	1.0	0.9904088775102111	2466542	2466542	2490428	1.0	0.8055555555555556	29	29	36
gsa	S3N2Bin_1000/output_recluster_bins/bin.105.fa	1287_BZ	0.9941384918197146	0.9903398559298934	6830324	6790288	6856523	0.940677966101695	0.6646706586826348	118	111	167
gsa	S3N2Bin_1000/output_recluster_bins/recluster_85.bin.1.fa	1036725	0.9884988600056859	0.9901706046954599	2124572	2100137	2120985	0.9629629629629629	0.9454545454545454	54	52	55
gsa	S3N2Bin_1000/output_recluster_bins/recluster_68.bin.0.fa	1139_R	0.988435237649337	0.9901136608442084	6593391	6517140	6582214	0.7333333333333333	0.4925373134328358	45	33	67
gsa	S3N2Bin_1000/output_recluster_bins/bin.51.fa	1049017	0.9997212718125322	0.9898185757609234	6945835	6943899	7015325	0.9705882352941176	0.8048780487804879	34	33	41
gsa	S3N2Bin_1000/output_recluster_bins/recluster_14.bin.7.fa	evo_1220_W.025	0.9808456222451978	0.9897927509239758	4869905	4776625	4825884	0.75	0.6857142857142857	32	24	35
gsa	S3N2Bin_1000/output_recluster_bins/bin.212.fa	1035996	0.9976326315423664	0.9895914754298677	3539373	3530994	3568133	0.9166666666666666	0.9166666666666666	48	44	48
gsa	S3N2Bin_1000/output_recluster_bins/recluster_17.bin.2.fa	1285_CP	0.5012361397980362	0.9893600252327542	12885274	6458565	6528023	0.46846846846846846	0.7323943661971831	111	52	71
gsa	S3N2Bin_1000/output_recluster_bins/recluster_150.bin.1.fa	1220_R	0.9979672491210724	0.9892031900910062	5756731	5745029	5807734	0.84	0.5	50	42	84
gsa	S3N2Bin_1000/output_recluster_bins/recluster_55.bin.0.fa	evo_1048969.022	0.9992684947619818	0.9888559988535689	3494165	3491609	3530958	0.9761904761904762	0.9213483146067416	84	82	89
gsa	S3N2Bin_1000/output_recluster_bins/bin.256.fa	1030803	1.0	0.9886377079935694	2298119	2298119	2324531	1.0	0.8472222222222222	61	61	72
gsa	S3N2Bin_1000/output_recluster_bins/recluster_226.bin.1.fa	1286_I	0.9608337788676279	0.9885906996691417	4591865	4412019	4462938	0.6029411764705882	0.5942028985507246	68	41	69
gsa	S3N2Bin_1000/output_recluster_bins/recluster_146.bin.1.fa	1287_BU	0.9996563587951934	0.9884677168179299	3908146	3906803	3952383	0.9230769230769231	0.6666666666666666	13	12	18
gsa	S3N2Bin_1000/output_recluster_bins/recluster_16.bin.5.fa	1021_L	0.9775061435655457	0.9884049111125867	5299447	5180242	5241012	0.7777777777777778	0.5975609756097561	63	49	82
gsa	S3N2Bin_1000/output_recluster_bins/recluster_226.bin.3.fa	1285_Q	0.9438877328425479	0.9882142874851108	5489976	5181921	5243722	0.8765432098765432	0.696078431372549	81	71	102
gsa	S3N2Bin_1000/output_recluster_bins/bin.38.fa	1220_Z	0.9968586764379892	0.9880238958726117	5805833	5787595	5857748	0.9769230769230769	0.797071129707113	390	381	478
gsa	S3N2Bin_1000/output_recluster_bins/recluster_97.bin.0.fa	1220_G	0.9930102716309224	0.98794559038281	6104386	6061718	6135680	0.9243697478991597	0.5759162303664922	119	110	191
gsa	S3N2Bin_1000/output_recluster_bins/recluster_73.bin.1.fa	1139_BS	0.9984725387976433	0.9879093320964276	3882259	3876329	3923770	0.9047619047619048	0.7307692307692307	21	19	26
gsa	S3N2Bin_1000/output_recluster_bins/recluster_78.bin.1.fa	1365_B	0.9987680568610853	0.987290556781092	3401131	3396941	3440670	0.8461538461538461	0.36666666666666664	13	11	30
gsa	S3N2Bin_1000/output_recluster_bins/recluster_1.bin.1.fa	1035978	0.9988779893696329	0.986879294047441	2523149	2520318	2553826	0.993920972644377	0.8696808510638298	329	327	376
gsa	S3N2Bin_1000/output_recluster_bins/recluster_40.bin.4.fa	1285_AF	0.9998444122167407	0.9868582897509036	6645766	6644732	6733218	0.9761904761904762	0.7454545454545455	42	41	55
gsa	S3N2Bin_1000/output_recluster_bins/recluster_159.bin.5.fa	1139_I	0.9973466856920482	0.9868192482839702	4818125	4805341	4869525	0.8333333333333334	0.625	24	20	32
gsa	S3N2Bin_1000/output_recluster_bins/recluster_14.bin.9.fa	1286_AS	0.9976044949676875	0.9866414985787768	4166971	4156989	4213272	0.9464285714285714	0.8548387096774194	56	53	62
gsa	S3N2Bin_1000/output_recluster_bins/bin.39.fa	1048768	0.9983985842283745	0.986629188398718	3297707	3292426	3337045	0.9680851063829787	0.8504672897196262	94	91	107
gsa	S3N2Bin_1000/output_recluster_bins/recluster_151.bin.2.fa	1286_AX	1.0	0.9866176274984979	4087102	4087102	4142539	1.0	0.64	16	16	25
gsa	S3N2Bin_1000/output_recluster_bins/recluster_235.bin.2.fa	1048972	0.9995193190149894	0.9865849740097635	2958303	2956881	2997087	0.9545454545454546	0.7777777777777778	22	21	27
